magnitude,location,style,percentile,model_name,mu,sigma,alpha,beta,xd,d_xd,displ_without_aleatory,displ_with_aleatory,normalized_d_xd
7.0,0.86,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7507117157993195,0.5136892337359522,1.1261597469078675,0.8993217597815065,1.0127799653842793,1.0946176725323178,0.8804675075140747
7.0,0.87,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7260252124508493,0.5136408978532967,1.1261597469078675,0.8865571398406814,0.9984049642223446,1.0785294416030056,0.867970497426836
7.0,0.88,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7044266866071345,0.512055838663284,1.1261597469078675,0.8727616364506985,0.9828690236162149,1.062661193027065,0.8544642163293662
7.0,0.89,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6861159003321602,0.508794691695018,1.1261597469078675,0.8578868196715691,0.9661176037169296,1.0417038636142466,0.8399012496138377
7.0,0.9,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6712970472956017,0.5037374898874172,1.1261597469078675,0.8418949794609384,0.9481082369927346,1.023272883144059,0.8242446778277417
7.0,0.91,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6601839342579217,0.4967882996844541,1.1261597469078675,0.8247599538634404,0.9288114609025965,1.0035855195682706,0.8074688875002793
7.0,0.92,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6530055890687683,0.48787970971495,1.1261597469078675,0.8064678869520605,0.9082116714592552,0.9803605459101675,0.7895603131935083
7.0,0.93,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6500123949909489,0.4769769557774002,1.1261597469078675,0.7870178891577599,0.886307866865867,0.9568839588552133,0.7705180839881761
7.0,0.9400000000000001,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.651482880889587,0.4640814515629842,1.1261597469078675,0.7664225725946584,0.8631142503776772,0.9298387434362152,0.7503545475858289
7.0,0.9500000000000001,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6577313317400104,0.44923349185663347,1.1261597469078675,0.7447084347177121,0.8386606623618528,0.9050711367445807,0.7290956459231173
7.0,0.96,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6691164256901923,0.43251390622747243,1.1261597469078675,0.7219160652237018,0.8129928133010476,0.8781126921544488,0.7067811177351118
7.0,0.97,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.6860511547247108,0.4140444681229347,1.1261597469078675,0.6981001535860528,0.7861722922788127,0.8505898108027478,0.6834645059321562
7.0,0.98,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7090143485961617,0.3939869074731117,1.1261597469078675,0.6733292780305763,0.7582763293325709,0.8184924937931022,0.6592129509997252
7.0,0.99,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.738564199703604,0.3725404337773647,1.1261597469078675,0.6476854611073776,0.7293972949565898,0.78824836058632,0.6341067558877538
7.0,1.0,reverse,-1.0,d_ad,0.051600000000000534,0.17,1.7753542846562733,0.3499377491111553,1.1261597469078675,0.6212634822474616,0.6996419259309018,0.7547803879055854,0.6082387129794716
