"","c1","c2","c3","alpha","beta","gamma","s_m,s1","s_m,s2","s_m,s3","s_s1","s_s2","lambda"
"195",0.780491,3.11302,1.56272,0.784427,0.99424,6.18041,0.433191,-0.768178,6.60807,0.569827,0.92384,0.171548
"196",0.649542,2.98414,1.43473,0.767605,0.953312,5.8476,0.415312,-0.500529,7.37061,0.550078,1.04012,0.157057
"197",0.702951,2.92859,1.38885,0.778225,0.964495,6.13695,0.639991,-1.45205,5.75949,0.558914,1.13295,0.163377
"198",0.715876,2.93834,1.35098,0.790362,0.982745,6.01114,0.370334,-0.242847,8.09132,0.56419,0.929479,0.166672
"199",0.546104,2.33109,1.58753,0.751787,0.934445,5.84387,0.681325,-0.541834,5.83134,0.563747,1.14353,0.154614
"200",0.946575,3.49177,0.179698,0.816004,0.988076,6.39093,0.569247,-0.249931,7.2246,0.56805,1.15552,0.160732
"201",0.981055,3.36019,0.150566,0.806895,0.980367,6.24288,0.659751,-0.489955,7.15805,0.568243,1.13799,0.163327
"202",0.339763,2.29118,1.31258,0.762552,0.954424,6.12093,0.560976,-1.26837,5.97616,0.577564,0.961336,0.167439
"203",0.426413,2.52746,1.53023,0.824844,0.976144,6.22207,0.639475,-0.298906,6.99036,0.557456,1.33963,0.157262
"204",0.494307,2.48711,1.52231,0.802894,0.981648,6.49283,0.475613,-0.355519,7.10618,0.558416,0.971345,0.16217
"205",0.497265,2.85563,1.54385,0.743156,0.934492,5.94801,0.531956,-0.572466,6.58541,0.578735,0.97811,0.15424
"206",0.451183,2.59509,1.64374,0.754718,0.915114,5.83893,0.58097,-0.5615,6.65092,0.565441,1.18069,0.160401
"207",0.531589,2.7946,1.76546,0.749284,0.917951,5.8877,0.586174,-0.925172,6.5071,0.540118,1.13648,0.160483
"208",0.562701,2.58779,1.51568,0.735501,0.912207,5.87365,0.464083,-0.632327,7.06216,0.566973,0.909198,0.157794
"209",0.680982,2.6477,1.21294,0.789523,0.962828,6.08506,0.689655,-0.942142,6.20696,0.561997,1.01941,0.171056
"210",0.598716,2.58113,1.50661,0.776961,0.976627,6.27831,0.440847,-0.593051,7.03831,0.532511,1.32127,0.160901
"211",0.66607,2.77992,1.88309,0.820615,0.95396,6.18755,0.466472,-0.228367,7.54458,0.566384,1.14255,0.165401
"212",0.710126,2.80878,1.85257,0.799457,0.975719,6.41518,0.441597,-0.163075,7.9042,0.552423,1.1325,0.168344
"213",0.83846,2.93534,1.04467,0.760311,0.944867,5.94005,0.640254,-1.31148,5.97692,0.542672,1.20502,0.150348
"214",0.901643,2.77148,1.08749,0.782669,0.960287,6.19247,0.370367,-0.523108,7.3523,0.573645,0.945545,0.167027
